"Term name (NOT TO BE EDITED, but see comments in column K)",acronym/abbreviation (Editors can insert suggestions),Pending discussion,"skos:definition @en                                                          Comments welcome, but DO NOT EDIT column D (FdJ will do that based on comments in column M). Note that in some cases the original can still be checked in column R",project/community/source,source indications in the source,date (internal information only),select (Editors in favour of selection can add a smart chip/their initials) ,to be discussed (Editors in favour of discussion can add a smart chip/their initials) ,reject (Editors in favour of rejection can add a smart chip/their initials) ,final decision (verdict to be specified based on consensus/majority; probably not before 13 July),status: current / not used / outdated; annotated with user initials,"editorial comments, annotated with user initials (light grey font: no further actionr equired on short notice)",URI (without namespace); capitalisation for internal purposes only; DO NOT EDIT,skos:prefLabel @en,skos:altLabel @en;  column NOT TO BE EDITED;  relevance of this column still under  discussion ,skos:broader,original definition @en,skos:note @en,skos:example @en,skos:exactMatch,skos:closeMatch
Executive Board,,,An expert group of representatives of the EOSC Association that is responsible for the day-to-day operational management of the EOSC Association. The executive board reports to the general assembly.,EOSCFuture project glossary,https://www.eosc.eu/sites/default/files/EOSC_Statutes.pdf,2020-07-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,reject,outdated; current term is Board of Directors; see entry EOSC Board of Directors ,Too generic without EOSC qualifier,ExecutiveBoard,Executive Board,,,An expert group of representatives of the EOSC Association that is responsible for the day-to-day operational management of the EOSC Association. The executive board reports to the general assembly.,Domain: EOSC Association,,,
external platform,,,"ICT infrastructure that consists in a set of stable ​components providing the foundation upon which the ​actors of an ​ecosystem can develop complementary products, technologies, or services​, and that has the potential of creating network effects.",EOSC Glossary September 2020,,2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,reject,,"FdJ, DB: not specific for EOSC/OSCARS
Not specific to EOSC/OSCARS.",ExternalPlatform,external platform,industry platform | platform,information and communication technology infrastructure,"ICT infrastructure that consists in a set of stable ​components providing the foundation upon which the ​actors of an ​ecosystem can develop complementary products, technologies, or services​, and that has the potential of creating network effects.",,,,
federated architecture,,,architecture​ of a ​federated cloud infrastructure​.,EOSC Glossary September 2020,,2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula MN,reject,,Too generic; not specific to EOSC/OSCARS.,FederatedArchitecture,federated architecture,,architecture,architecture​ of a ​federated cloud infrastructure​.,,,,
federated cloud infrastructure,,,hybrid cloud​ realised within the scope of a ​federation​.,EOSC Glossary September 2020,,2020-09-01,,,Franciska de Jong Lorenz Makula Joaquin Lopez MN,reject,,,FederatedCloudInfrastructure,federated cloud infrastructure,federated infrastructure,hybrid cloud,hybrid cloud​ realised within the scope of a ​federation​.,,,,
Federated Identity Management for Research,FIM4R,,A collection of research communities working to enable federated identity management for their infrastructures.,EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Lorenz Makula Joaquin Lopez MN,reject,,,FederatedIdentityManagementForResearch,Federated Identity Management for Research,,,Federated Identity Management for Research. A collection of research communities working to enable federated identity management for their infrastructures.,,,,
Federation Capability,,,A functionality that is delivered by a federation for its members (e.g. helpdesk and monitoring in EOSC Future).,EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Lorenz Makula Joaquin Lopez,reject,,"FdJ:  from the two plural/singular variants the singular version ahs been selected, in line woththe ISO standard",FederationCapability,Federation Capability,,,A functionality that is delivered by a federation for its members (e.g. helpdesk and monitoring in EOSC Future).,,,,
Federation Interfaces,,,Technical standards and operating procedures that allow federation members to connect/use a specific federation capability (e.g. the interface defined in the helpdesk interoperability guidelines to connect a community helpdesk to the EOSC helpdesk).,EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Lorenz Makula Joaquin Lopez MN,reject,,FdJ:Term should preferably be EOSC Federation Interfaces; ,FederationInterfaces,Federation Interfaces,,,Technical standards and operating procedures that allow federation members to connect/use a specific federation capability (e.g. the interface defined in the helpdesk interoperability guidelines to connect a community helpdesk to the EOSC helpdesk).,,,,
federation member,,,actor​ that works together with other federation members in a ​federation​ to provide one or more services​.,EOSC Glossary September 2020,"FITSM. (2016). Part 0: Overview and vocabulary (2.4). https://www.fitsm.eu/download/280/​, modified –– reference to actor; Note has been removed.",2020-09-01,,,Franciska de Jong Lorenz Makula Joaquin Lopez MN,reject,,"FdJ: not specific for EOSC/OSCARS
Better or not if term would be replaced by be EOSC Federation member?",FederationMember,federation member,,actor,actor​ that works together with other federation members in a ​federation​ to provide one or more services​.,,,,
"Findable, Accessible, Interoperable, Reusable",FAIR,,"Findable, Accessible, Interoperable, Reusable. Four guiding principles for research data management and stewardship that consist of metadata protocols for making digital research objects (e.g. publications, data, and code) machine-actionable (i.e. the capacity of computational systems to find, access, interoperate, and reuse data with none or minimal human intervention).",EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Joaquin Lopez Lorenz Makula MN,reject,,Covered by 'FAIR principles'.,Fair,"Findable, Accessible, Interoperable, Reusable",,,"Findable, Accessible, Interoperable, Reusable. Four guiding principles for research data management and stewardship that consist of metadata protocols for making digital research objects (e.g. publications, data, and code) machine-actionable (i.e. the capacity of computational systems to find, access, interoperate, and reuse data with none or minimal human intervention).",,,,
General Assembly,,see cell A3; creation of a domain: EOSC Association?,"Supreme authoritative body of the ​governance structure​ that has all powers except those expressly reserved or delegated to the other bodies of the ​EOSC Association​ by the Code of companies and associations, the Statutes or by a decision passed by itself.",EOSC Glossary September 2020,"EOSC AISBL Statutes, (2020), FINAL. https://www.eoscsecretariat.eu/sites/default/files/eosc_statutes.pdf​, modified –– reference to body of the governance structure.",2020-09-01, Joaquin Lopez Lorenz Makula,, Franciska de Jong  Alberto Iess MN,reject,,"FdJ: The term should actually be 'EOSC General Assembly' Duplicate has been created with EOSC as prefix; 
",GeneralAssembly,General Assembly,,governance structure,"supreme authoritative body of the ​governance structure​ that has all powers except those expressly reserved or delegated to the other bodies of the ​EOSC Association​ by the Code of companies and associations, the Statutes or by a decision passed by itself.",The General Assembly is composed of one Delegate per ​Member​ and one Representative per ​Observer​. | Domain: EOSC Association,,,
